created_at,entry_id,pm1,pm25,pm10,temp,humidity,latitude,longitude,aqi
2020-04-16 11:21:29 PDT,9,1,2,2,22.27,47.28516,37.92099,-122.55405,8
2020-04-16 11:21:58 PDT,10,2,3,3,22.22,46.98242,37.92099,-122.55405,12
2020-04-16 11:22:40 PDT,11,0,1,3,22.16,47.32129,37.92099,-122.55405,4
2020-04-16 11:23:22 PDT,12,0,2,2,22.12,47.30469,37.92099,-122.55405,8
2020-04-16 11:24:05 PDT,13,0,1,1,22.08,47.22852,37.92099,-122.55405,4
2020-04-16 11:24:47 PDT,14,2,3,3,22.1,48.39355,37.92099,-122.55405,12
2020-04-16 11:25:29 PDT,15,0,0,1,22.18,47.90332,37.92099,-122.55405,0
2020-04-16 11:25:59 PDT,16,1,2,2,22.28,52.61426,37.92099,-122.55405,8
2020-04-16 13:43:48 PDT,17,1,4,4,21.66,46.87695,37.92105,-122.55413,16
2020-04-16 13:44:30 PDT,18,2,5,6,21.73,46.9668,37.92105,-122.55413,20
2020-04-16 13:45:13 PDT,19,2,3,3,21.78,46.69922,37.92094,-122.55402,12
2020-04-16 13:45:42 PDT,20,3,3,3,21.81,47.18848,37.92094,-122.55402,12
2020-04-16 13:46:24 PDT,21,3,4,4,21.86,46.26758,37.92094,-122.55402,16
2020-04-16 13:47:07 PDT,22,3,5,5,21.85,46.18359,37.92094,-122.55402,20
2020-04-16 13:47:49 PDT,23,2,2,4,21.82,46.2168,37.92094,-122.55402,8
2020-04-16 13:48:32 PDT,24,2,4,4,21.79,46.2373,37.92094,-122.55402,16
2020-04-16 13:49:15 PDT,25,2,4,6,21.76,46.31738,37.92094,-122.55402,16
2020-04-16 13:49:44 PDT,26,3,4,6,21.75,46.33887,37.92094,-122.55402,16
2020-04-16 13:50:27 PDT,27,1,2,4,21.72,46.34863,37.92094,-122.55402,8
2020-04-16 13:51:12 PDT,28,2,3,3,21.68,46.44043,37.92094,-122.55402,12
2020-04-16 13:51:51 PDT,29,2,3,3,21.67,46.62891,37.92094,-122.55402,12
2020-04-16 13:52:32 PDT,30,3,4,4,21.65,46.54395,37.92094,-122.55402,16
2020-04-16 13:53:14 PDT,31,3,6,6,21.64,46.57715,37.92094,-122.55402,25
2020-04-16 13:53:43 PDT,32,1,2,4,21.63,46.63574,37.92094,-122.55402,8
2020-04-16 13:54:26 PDT,33,2,3,7,21.62,46.69434,37.92094,-122.55402,12
2020-04-16 13:55:08 PDT,34,2,4,5,21.6,46.64453,37.92094,-122.55402,16
2020-04-16 13:55:51 PDT,35,2,2,2,21.59,46.66797,37.92094,-122.55402,8
2020-04-16 13:56:33 PDT,36,2,4,4,21.58,46.77344,37.92094,-122.55402,16
2020-04-16 13:57:02 PDT,37,3,6,7,21.59,46.71387,37.92094,-122.55402,25
2020-04-16 13:57:45 PDT,38,2,4,4,21.58,46.66602,37.92094,-122.55402,16
2020-04-16 13:58:27 PDT,39,3,3,3,21.57,46.7002,37.92094,-122.55402,12
2020-04-16 13:59:10 PDT,40,3,4,5,21.56,46.73633,37.92094,-122.55402,16
2020-04-16 13:59:40 PDT,41,2,3,3,21.56,46.71094,37.92094,-122.55402,12
2020-04-16 14:00:34 PDT,42,3,4,4,21.54,46.70996,37.92094,-122.55402,16
2020-04-16 14:01:03 PDT,43,3,4,5,21.54,46.74512,37.92094,-122.55402,16
2020-04-16 14:01:46 PDT,44,2,5,6,21.55,46.83984,37.92094,-122.55402,20
2020-04-16 14:02:28 PDT,45,3,4,6,21.58,47.35449,37.92094,-122.55402,16
2020-04-16 14:03:10 PDT,46,2,3,3,21.61,46.68262,37.92094,-122.55402,12
2020-04-16 14:03:53 PDT,47,3,3,5,21.65,46.60254,37.92094,-122.55402,12
2020-04-16 14:04:22 PDT,48,2,3,7,21.66,46.46191,37.92094,-122.55402,12
2020-04-16 14:05:08 PDT,49,3,4,5,21.69,46.45215,37.92094,-122.55402,16
2020-04-16 14:05:47 PDT,50,1,2,4,21.72,46.36035,37.92094,-122.55402,8
2020-04-16 14:06:28 PDT,51,2,3,4,21.73,46.33789,37.92094,-122.55402,12
2020-04-16 14:07:10 PDT,52,2,3,3,21.75,46.32813,37.92094,-122.55402,12
